"best_available_taxonomy_dim$common_name","date_dim$yyyymmdd","haul_latitude_dim$latitude_in_degrees","haul_longitude_dim$longitude_in_degrees","operation_dim$operation_id","operation_dim$vessel","total_catch_numbers","total_catch_wt_kg"
"roughtail skate","20100821","44.68972222","-125.08055556","201003008003","Excalibur","2","3.2500"
"Dover sole","20100821","44.68972222","-125.08055556","201003008003","Excalibur","1","1.2500"
"deepsea sole","20100821","44.68972222","-125.08055556","201003008003","Excalibur","15","7.4000"
"California slickhead","20100821","44.68972222","-125.08055556","201003008003","Excalibur","7","2.2000"
"sablefish","20100821","44.68972222","-125.08055556","201003008003","Excalibur","10","14.2000"
"deepsea smelt unident.","20100821","44.68972222","-125.08055556","201003008003","Excalibur","7","0.2200"
"Pacific grenadier","20100821","44.68972222","-125.08055556","201003008003","Excalibur","7","0.8500"
"giant grenadier","20100821","44.68972222","-125.08055556","201003008003","Excalibur","1","1.0000"
"highsnout bigscale","20100821","44.68972222","-125.08055556","201003008003","Excalibur","1","0.0200"
"lanternfish unident.","20100821","44.68972222","-125.08055556","201003008003","Excalibur","12","0.0600"
"","20100821","44.68972222","-125.08055556","201003008003","Excalibur","1","0.0100"
"slender barracudina","20100821","44.68972222","-125.08055556","201003008003","Excalibur","1","0.0200"
"twoline eelpout","20100821","44.68972222","-125.08055556","201003008003","Excalibur","1","0.1800"
"snakehead eelpout","20100821","44.68972222","-125.08055556","201003008003","Excalibur","6","0.6000"
"longspine thornyhead","20100821","44.68972222","-125.08055556","201003008003","Excalibur","459","59.6900"
"Wheel Jellies","20100821","44.68972222","-125.08055556","201003008003","Excalibur","5","0.0400"
"Flower Sea Pens","20100821","44.68972222","-125.08055556","201003008003","Excalibur","1","0.0100"
"Rough Anemone","20100821","44.68972222","-125.08055556","201003008003","Excalibur","3","0.5200"
"Red Striated Anemone","20100821","44.68972222","-125.08055556","201003008003","Excalibur","13","0.1400"
"Grooved Tanner Crab","20100821","44.68972222","-125.08055556","201003008003","Excalibur","98","24.5000"
"rosy tritonia","20100821","44.68972222","-125.08055556","201003008003","Excalibur","4","0.2200"
"","20100821","44.68972222","-125.08055556","201003008003","Excalibur","2","0.1000"
"Green Top Snail","20100821","44.68972222","-125.08055556","201003008003","Excalibur","10","0.1200"
"Yellow Ringed Octopus","20100821","44.68972222","-125.08055556","201003008003","Excalibur","1","0.0800"
"Vampire Squid","20100821","44.68972222","-125.08055556","201003008003","Excalibur","1","0.3800"
"Octopus Squid","20100821","44.68972222","-125.08055556","201003008003","Excalibur","1","0.0400"
"Pink Star","20100821","44.68972222","-125.08055556","201003008003","Excalibur","20","0.2200"
"Deep-sea Spiny Star","20100821","44.68972222","-125.08055556","201003008003","Excalibur","3","0.3800"
"Grooved Sun Star","20100821","44.68972222","-125.08055556","201003008003","Excalibur","4","0.3200"
"Jordans Slime Star","20100821","44.68972222","-125.08055556","201003008003","Excalibur","1","0.0800"
"Deep-sea Fragile Star","20100821","44.68972222","-125.08055556","201003008003","Excalibur","8","0.1200"
"Slender Star","20100821","44.68972222","-125.08055556","201003008003","Excalibur","20","1.0000"
"salps unident.","20100821","44.68972222","-125.08055556","201003008003","Excalibur","","0.2400"
"hagfish unident.","20100821","44.48777778","-125.11583333","201003008001","Excalibur","1","0.1400"
"roughtail skate","20100821","44.48777778","-125.11583333","201003008001","Excalibur","1","3.2500"
"deepsea sole","20100821","44.48777778","-125.11583333","201003008001","Excalibur","2","1.4500"
"sablefish","20100821","44.48777778","-125.11583333","201003008001","Excalibur","2","4.8000"
"deepsea smelt unident.","20100821","44.48777778","-125.11583333","201003008001","Excalibur","11","0.5600"
"Pacific grenadier","20100821","44.48777778","-125.11583333","201003008001","Excalibur","62","20.1000"
"giant grenadier","20100821","44.48777778","-125.11583333","201003008001","Excalibur","8","10.1500"
"Pacific flatnose","20100821","44.48777778","-125.11583333","201003008001","Excalibur","24","9.5500"
"lanternfish unident.","20100821","44.48777778","-125.11583333","201003008001","Excalibur","6","0.0400"
"twoline eelpout","20100821","44.48777778","-125.11583333","201003008001","Excalibur","3","1.4000"
"shortspine thornyhead","20100821","44.48777778","-125.11583333","201003008001","Excalibur","2","4.5500"
"longspine thornyhead","20100821","44.48777778","-125.11583333","201003008001","Excalibur","407","24.8500"
"jellyfish unident.","20100821","44.48777778","-125.11583333","201003008001","Excalibur","1","0.3600"
"Wheel Jellies","20100821","44.48777778","-125.11583333","201003008001","Excalibur","2","0.1200"
"sea pen unident.","20100821","44.48777778","-125.11583333","201003008001","Excalibur","11","0.7000"
"Fleshy Sea Pen","20100821","44.48777778","-125.11583333","201003008001","Excalibur","","0.0400"
"Rough Anemone","20100821","44.48777778","-125.11583333","201003008001","Excalibur","13","0.7500"
"Pom Pom Anemone","20100821","44.48777778","-125.11583333","201003008001","Excalibur","22","0.3600"
"Grooved Tanner Crab","20100821","44.48777778","-125.11583333","201003008001","Excalibur","110","3.3000"
"rosy tritonia","20100821","44.48777778","-125.11583333","201003008001","Excalibur","4","0.1200"
"","20100821","44.48777778","-125.11583333","201003008001","Excalibur","23","1.6200"
"Vampire Squid","20100821","44.48777778","-125.11583333","201003008001","Excalibur","2","0.1200"
"Spiny Star","20100821","44.48777778","-125.11583333","201003008001","Excalibur","15","5.5500"
"Grooved Sun Star","20100821","44.48777778","-125.11583333","201003008001","Excalibur","16","1.0600"
"Pink Sun Star","20100821","44.48777778","-125.11583333","201003008001","Excalibur","6","1.1800"
"Carpet Star","20100821","44.48777778","-125.11583333","201003008001","Excalibur","5","1.6000"
"","20100821","44.48777778","-125.11583333","201003008001","Excalibur","1","0.0100"
"Giant Serpent Star","20100821","44.48777778","-125.11583333","201003008001","Excalibur","5","0.2200"
"Sea Pigs","20100821","44.48777778","-125.11583333","201003008001","Excalibur","6107","41.5300"
"salps unident.","20100821","44.48777778","-125.11583333","201003008001","Excalibur","2","0.0600"
"Orange Actinistolids","20100821","44.48777778","-125.11583333","201003008001","Excalibur","15","0.1200"
"black hagfish","20100821","44.53638889","-125.17333333","201003008002","Excalibur","9","1.3000"
"brown cat shark","20100821","44.53638889","-125.17333333","201003008002","Excalibur","1","0.5000"
"roughtail skate","20100821","44.53638889","-125.17333333","201003008002","Excalibur","4","9.1500"
"Dover sole","20100821","44.53638889","-125.17333333","201003008002","Excalibur","2","2.1000"
"deepsea sole","20100821","44.53638889","-125.17333333","201003008002","Excalibur","19","7.9000"
"California slickhead","20100821","44.53638889","-125.17333333","201003008002","Excalibur","45","17.3500"
"sablefish","20100821","44.53638889","-125.17333333","201003008002","Excalibur","18","31.9000"
"deepsea smelt unident.","20100821","44.53638889","-125.17333333","201003008002","Excalibur","8","0.4600"
"California smoothtongue","20100821","44.53638889","-125.17333333","201003008002","Excalibur","1","0.0100"
"Pacific grenadier","20100821","44.53638889","-125.17333333","201003008002","Excalibur","388","154.3500"
"giant grenadier","20100821","44.53638889","-125.17333333","201003008002","Excalibur","16","16.5500"
"Pacific flatnose","20100821","44.53638889","-125.17333333","201003008002","Excalibur","8","2.4000"
"blackfin snailfish","20100821","44.53638889","-125.17333333","201003008002","Excalibur","2","0.3200"
"lanternfish unident.","20100821","44.53638889","-125.17333333","201003008002","Excalibur","3","0.0100"
"twoline eelpout","20100821","44.53638889","-125.17333333","201003008002","Excalibur","5","2.4500"
"snakehead eelpout","20100821","44.53638889","-125.17333333","201003008002","Excalibur","28","3.4500"
"shortspine thornyhead","20100821","44.53638889","-125.17333333","201003008002","Excalibur","5","8.8000"
"longspine thornyhead","20100821","44.53638889","-125.17333333","201003008002","Excalibur","757","118.9500"
"Rough Anemone","20100821","44.53638889","-125.17333333","201003008002","Excalibur","1","0.0200"
"","20100821","44.53638889","-125.17333333","201003008002","Excalibur","5","0.1000"
"Hormathiid Anemones unident.","20100821","44.53638889","-125.17333333","201003008002","Excalibur","3","0.0800"
"Grooved Tanner Crab","20100821","44.53638889","-125.17333333","201003008002","Excalibur","15","6.1500"
"Hair Crab","20100821","44.53638889","-125.17333333","201003008002","Excalibur","1","0.4400"
"rosy tritonia","20100821","44.53638889","-125.17333333","201003008002","Excalibur","6","0.4000"
"","20100821","44.53638889","-125.17333333","201003008002","Excalibur","6","0.2600"
"Green Top Snail","20100821","44.53638889","-125.17333333","201003008002","Excalibur","69","1.7200"
"Octopus Squid","20100821","44.53638889","-125.17333333","201003008002","Excalibur","1","0.0400"
"Deep-sea Spiny Star","20100821","44.53638889","-125.17333333","201003008002","Excalibur","2","0.4500"
"Grooved Sun Star","20100821","44.53638889","-125.17333333","201003008002","Excalibur","23","1.4000"
"Pink Sun Star","20100821","44.53638889","-125.17333333","201003008002","Excalibur","5","0.6000"
"Carpet Star","20100821","44.53638889","-125.17333333","201003008002","Excalibur","5","1.1500"
"Deep-sea Fragile Star","20100821","44.53638889","-125.17333333","201003008002","Excalibur","7","0.1000"
"","20100821","44.53638889","-125.17333333","201003008002","Excalibur","","5.5000"
"Pacific Spiny Dogfish","20100822","45.91388889","-124.64111111","201003008006","Excalibur","1","2.2500"
"Sandpaper skate","20100822","45.91388889","-124.64111111","201003008006","Excalibur","3","1.9000"
"longnose skate","20100822","45.91388889","-124.64111111","201003008006","Excalibur","2","3.9000"
"spotted ratfish","20100822","45.91388889","-124.64111111","201003008006","Excalibur","2","1.7500"
"arrowtooth flounder","20100822","45.91388889","-124.64111111","201003008006","Excalibur","9","11.0000"
"slender sole","20100822","45.91388889","-124.64111111","201003008006","Excalibur","2","0.1000"
"petrale sole","20100822","45.91388889","-124.64111111","201003008006","Excalibur","3","1.0500"
"English sole","20100822","45.91388889","-124.64111111","201003008006","Excalibur","12","4.7500"
"Dover sole","20100822","45.91388889","-124.64111111","201003008006","Excalibur","206","109.2000"
"rex sole","20100822","45.91388889","-124.64111111","201003008006","Excalibur","245","36.7500"
"bigeye poacher","20100822","45.91388889","-124.64111111","201003008006","Excalibur","1","0.0200"
"sablefish","20100822","45.91388889","-124.64111111","201003008006","Excalibur","2","2.1000"
"threadfin sculpin","20100822","45.91388889","-124.64111111","201003008006","Excalibur","61","9.7900"
"Pacific cod","20100822","45.91388889","-124.64111111","201003008006","Excalibur","1","1.0500"
"Pacific hake","20100822","45.91388889","-124.64111111","201003008006","Excalibur","2","4.1000"
"bigfin eelpout","20100822","45.91388889","-124.64111111","201003008006","Excalibur","1","0.1000"
"blackbelly eelpout","20100822","45.91388889","-124.64111111","201003008006","Excalibur","134","1.3420"
"greenstriped rockfish","20100822","45.91388889","-124.64111111","201003008006","Excalibur","343","69.4500"
"rosethorn rockfish","20100822","45.91388889","-124.64111111","201003008006","Excalibur","23","2.5500"
"redstripe rockfish","20100822","45.91388889","-124.64111111","201003008006","Excalibur","2","0.5000"
"stripetail rockfish","20100822","45.91388889","-124.64111111","201003008006","Excalibur","13","1.0600"
"pygmy rockfish","20100822","45.91388889","-124.64111111","201003008006","Excalibur","3","0.2200"
"sharpchin rockfish","20100822","45.91388889","-124.64111111","201003008006","Excalibur","3","0.2600"
"","20100822","45.91388889","-124.64111111","201003008006","Excalibur","","0.4600"
"Dungeness Crab","20100822","45.91388889","-124.64111111","201003008006","Excalibur","4","2.0000"
"Brown Box Crab","20100822","45.91388889","-124.64111111","201003008006","Excalibur","12","3.4900"
"Fuzzy Crab","20100822","45.91388889","-124.64111111","201003008006","Excalibur","2","0.1800"
"Pinch Bug","20100822","45.91388889","-124.64111111","201003008006","Excalibur","134","1.3420"
"Oregon triton","20100822","45.91388889","-124.64111111","201003008006","Excalibur","1","0.1200"
"Fish-eating Star","20100822","45.91388889","-124.64111111","201003008006","Excalibur","403","21.4720"
"Thorny Star","20100822","45.91388889","-124.64111111","201003008006","Excalibur","3","0.5000"
"Alaskan Pseudarchaster","20100822","45.91388889","-124.64111111","201003008006","Excalibur","1","0.0200"
"Spiny Star","20100822","45.91388889","-124.64111111","201003008006","Excalibur","","0.0400"
"equal armed star","20100822","45.91388889","-124.64111111","201003008006","Excalibur","6","0.4200"
"","20100822","45.91388889","-124.64111111","201003008006","Excalibur","1879","128.8320"
"sponge unident.","20100822","45.91388889","-124.64111111","201003008006","Excalibur","","107.3600"
"unsorted shab","20100822","45.91388889","-124.64111111","201003008006","Excalibur","","40.2600"
"Sandpaper skate","20100822","45.89305556","-124.72833333","201003008005","Excalibur","11","5.6000"
"spotted ratfish","20100822","45.89305556","-124.72833333","201003008005","Excalibur","6","3.2500"
"arrowtooth flounder","20100822","45.89305556","-124.72833333","201003008005","Excalibur","15","25.8500"
"slender sole","20100822","45.89305556","-124.72833333","201003008005","Excalibur","13","0.5500"
"Dover sole","20100822","45.89305556","-124.72833333","201003008005","Excalibur","127","50.9000"
"rex sole","20100822","45.89305556","-124.72833333","201003008005","Excalibur","137","27.3500"
"sablefish","20100822","45.89305556","-124.72833333","201003008005","Excalibur","2","1.6500"
"Pacific hake","20100822","45.89305556","-124.72833333","201003008005","Excalibur","2","1.1000"
"lanternfish unident.","20100822","45.89305556","-124.72833333","201003008005","Excalibur","95","0.3440"
"bigfin eelpout","20100822","45.89305556","-124.72833333","201003008005","Excalibur","20","1.7500"
"shortspine thornyhead","20100822","45.89305556","-124.72833333","201003008005","Excalibur","77","3.8500"
"darkblotched rockfish","20100822","45.89305556","-124.72833333","201003008005","Excalibur","6","3.7000"
"splitnose rockfish","20100822","45.89305556","-124.72833333","201003008005","Excalibur","2","0.4000"
"sharpchin rockfish","20100822","45.89305556","-124.72833333","201003008005","Excalibur","1","0.2000"
"Fleshy Sea Pen","20100822","45.89305556","-124.72833333","201003008005","Excalibur","1","0.1400"
"sea anemone unident.","20100822","45.89305556","-124.72833333","201003008005","Excalibur","2","2.4000"
"Rough Anemone","20100822","45.89305556","-124.72833333","201003008005","Excalibur","12","2.5000"
"Purple Striated Anemone","20100822","45.89305556","-124.72833333","201003008005","Excalibur","1","0.0200"
"Pom Pom Anemone","20100822","45.89305556","-124.72833333","201003008005","Excalibur","6","1.0000"
"sidestripe shrimp","20100822","45.89305556","-124.72833333","201003008005","Excalibur","4","0.0400"
"Glass Shrimp","20100822","45.89305556","-124.72833333","201003008005","Excalibur","17","0.0860"
"Dungeness Crab","20100822","45.89305556","-124.72833333","201003008005","Excalibur","1","0.5000"
"Baird`s Tanner Crab","20100822","45.89305556","-124.72833333","201003008005","Excalibur","1","0.1800"
"","20100822","45.89305556","-124.72833333","201003008005","Excalibur","1","0.0200"
"Alaskan Pseudarchaster","20100822","45.89305556","-124.72833333","201003008005","Excalibur","1","0.0200"
"Deep-sea Spiny Star","20100822","45.89305556","-124.72833333","201003008005","Excalibur","1","0.0400"
"flat mud star","20100822","45.89305556","-124.72833333","201003008005","Excalibur","9","1.4500"
"Carpet Star","20100822","45.89305556","-124.72833333","201003008005","Excalibur","3","3.8000"
"","20100822","45.89305556","-124.72833333","201003008005","Excalibur","917","21.1500"
"Purple Sea Potato","20100822","45.89305556","-124.72833333","201003008005","Excalibur","1","0.0200"
"salps unident.","20100822","45.89305556","-124.72833333","201003008005","Excalibur","2","0.0600"
"Sandpaper skate","20100822","46.21444444","-124.29750000","201003008008","Excalibur","1","0.0800"
"longnose skate","20100822","46.21444444","-124.29750000","201003008008","Excalibur","3","4.0500"
"spotted ratfish","20100822","46.21444444","-124.29750000","201003008008","Excalibur","17","9.0000"
"Pacific sanddab","20100822","46.21444444","-124.29750000","201003008008","Excalibur","52","5.1500"
"arrowtooth flounder","20100822","46.21444444","-124.29750000","201003008008","Excalibur","10","3.6000"
"slender sole","20100822","46.21444444","-124.29750000","201003008008","Excalibur","203","11.9500"
"petrale sole","20100822","46.21444444","-124.29750000","201003008008","Excalibur","8","2.7500"
"English sole","20100822","46.21444444","-124.29750000","201003008008","Excalibur","11","2.2000"
"Dover sole","20100822","46.21444444","-124.29750000","201003008008","Excalibur","607","115.3500"
"rex sole","20100822","46.21444444","-124.29750000","201003008008","Excalibur","187","26.2000"
"sablefish","20100822","46.21444444","-124.29750000","201003008008","Excalibur","3","1.9000"
"American shad","20100822","46.21444444","-124.29750000","201003008008","Excalibur","13","1.5000"
"Pacific sardine","20100822","46.21444444","-124.29750000","201003008008","Excalibur","1","0.0800"
"lingcod","20100822","46.21444444","-124.29750000","201003008008","Excalibur","1","7.4000"
"Pacific hake","20100822","46.21444444","-124.29750000","201003008008","Excalibur","1","0.6500"
"blackbelly eelpout","20100822","46.21444444","-124.29750000","201003008008","Excalibur","39","1.0900"
"greenstriped rockfish","20100822","46.21444444","-124.29750000","201003008008","Excalibur","1","0.0200"
"Giant Anemone","20100822","46.21444444","-124.29750000","201003008008","Excalibur","16","8.7500"
"","20100822","46.21444444","-124.29750000","201003008008","Excalibur","3","0.0100"
"Dungeness Crab","20100822","46.21444444","-124.29750000","201003008008","Excalibur","188","71.6500"
"rosy tritonia","20100822","46.21444444","-124.29750000","201003008008","Excalibur","9","0.2600"
"flat mud star","20100822","46.21444444","-124.29750000","201003008008","Excalibur","28","2.9000"
"brown cat shark","20100822","45.76500000","-124.77277778","201003008004","Excalibur","19","7.4000"
"Sandpaper skate","20100822","45.76500000","-124.77277778","201003008004","Excalibur","3","2.8000"
"longnose skate","20100822","45.76500000","-124.77277778","201003008004","Excalibur","2","15.6500"
"arrowtooth flounder","20100822","45.76500000","-124.77277778","201003008004","Excalibur","2","4.1000"
"slender sole","20100822","45.76500000","-124.77277778","201003008004","Excalibur","1","0.0800"
"Dover sole","20100822","45.76500000","-124.77277778","201003008004","Excalibur","303","181.9000"
"deepsea sole","20100822","45.76500000","-124.77277778","201003008004","Excalibur","2","1.4200"
"rex sole","20100822","45.76500000","-124.77277778","201003008004","Excalibur","41","9.0000"
"bigeye poacher","20100822","45.76500000","-124.77277778","201003008004","Excalibur","1","0.0200"
"blackfin poacher","20100822","45.76500000","-124.77277778","201003008004","Excalibur","1","0.0100"
"sablefish","20100822","45.76500000","-124.77277778","201003008004","Excalibur","2","4.5000"
"blacktail snailfish","20100822","45.76500000","-124.77277778","201003008004","Excalibur","1","0.1400"
"Pacific hake","20100822","45.76500000","-124.77277778","201003008004","Excalibur","2","1.9300"
"Pacific hake","20100822","45.76500000","-124.77277778","201003008004","Excalibur","1","0.0200"
"lanternfish unident.","20100822","45.76500000","-124.77277778","201003008004","Excalibur","1","0.0100"
"bigfin eelpout","20100822","45.76500000","-124.77277778","201003008004","Excalibur","31","6.4500"
"black eelpout","20100822","45.76500000","-124.77277778","201003008004","Excalibur","17","1.1000"
"shortspine thornyhead","20100822","45.76500000","-124.77277778","201003008004","Excalibur","25","6.2000"
"longspine thornyhead","20100822","45.76500000","-124.77277778","201003008004","Excalibur","16","1.4500"
"aurora rockfish","20100822","45.76500000","-124.77277778","201003008004","Excalibur","10","3.8000"
"blackgill rockfish","20100822","45.76500000","-124.77277778","201003008004","Excalibur","2","3.5500"
